hour,med,trauma
00:00-00:59,11.12,10.23
01:00-01:59,11.12,10.23
02:00-02:59,11.12,10.23
03:00-03:59,11.12,10.23
04:00-04:59,11.12,10.23
05:00-05:59,11.12,10.23
06:00-06:59,11.12,10.23
07:00-07:59,11.12,10.23
08:00-08:59,11.12,10.23
09:00-09:59,11.12,10.23
10:00-10:59,11.12,10.23
11:00-11:59,11.12,10.23
12:00-12:59,11.12,10.23
13:00-13:59,11.12,10.23
14:00-14:59,11.12,10.23
15:00-15:59,11.12,10.23
16:00-16:59,11.12,10.23
17:00-17:59,11.12,10.23
18:00-18:59,11.12,10.23
19:00-19:59,11.12,10.23
20:00-20:59,11.12,10.23
21:00-21:59,11.12,10.23
22:00-22:59,11.12,10.23
23:00-23:59,11.12,10.23
