hour,med,trauma
00:00-00:59,7.03,12.67
01:00-01:59,7.03,12.67
02:00-02:59,7.03,12.67
03:00-03:59,7.03,12.67
04:00-04:59,7.03,12.67
05:00-05:59,7.03,12.67
06:00-06:59,7.03,12.67
07:00-07:59,7.03,12.67
08:00-08:59,7.03,12.67
09:00-09:59,7.03,12.67
10:00-10:59,7.03,12.67
11:00-11:59,7.03,12.67
12:00-12:59,7.03,12.67
13:00-13:59,7.03,12.67
14:00-14:59,7.03,12.67
15:00-15:59,7.03,12.67
16:00-16:59,7.03,12.67
17:00-17:59,7.03,12.67
18:00-18:59,7.03,12.67
19:00-19:59,7.03,12.67
20:00-20:59,7.03,12.67
21:00-21:59,7.03,12.67
22:00-22:59,7.03,12.67
23:00-23:59,7.03,12.67
