hour,med,trauma
00:00-00:59,8.65,9.11
01:00-01:59,8.65,9.11
02:00-02:59,8.65,9.11
03:00-03:59,8.65,9.11
04:00-04:59,8.65,9.11
05:00-05:59,8.65,9.11
06:00-06:59,8.65,9.11
07:00-07:59,8.65,9.11
08:00-08:59,8.65,9.11
09:00-09:59,8.65,9.11
10:00-10:59,8.65,9.11
11:00-11:59,8.65,9.11
12:00-12:59,8.65,9.11
13:00-13:59,8.65,9.11
14:00-14:59,8.65,9.11
15:00-15:59,8.65,9.11
16:00-16:59,8.65,9.11
17:00-17:59,8.65,9.11
18:00-18:59,8.65,9.11
19:00-19:59,8.65,9.11
20:00-20:59,8.65,9.11
21:00-21:59,8.65,9.11
22:00-22:59,8.65,9.11
23:00-23:59,8.65,9.11
