hour,med,trauma
00:00-00:59,9.49,6.49
01:00-01:59,9.49,6.49
02:00-02:59,9.49,6.49
03:00-03:59,9.49,6.49
04:00-04:59,9.49,6.49
05:00-05:59,9.49,6.49
06:00-06:59,9.49,6.49
07:00-07:59,9.49,6.49
08:00-08:59,9.49,6.49
09:00-09:59,9.49,6.49
10:00-10:59,9.49,6.49
11:00-11:59,9.49,6.49
12:00-12:59,9.49,6.49
13:00-13:59,9.49,6.49
14:00-14:59,9.49,6.49
15:00-15:59,9.49,6.49
16:00-16:59,9.49,6.49
17:00-17:59,9.49,6.49
18:00-18:59,9.49,6.49
19:00-19:59,9.49,6.49
20:00-20:59,9.49,6.49
21:00-21:59,9.49,6.49
22:00-22:59,9.49,6.49
23:00-23:59,9.49,6.49
