hour,med,trauma
00:00-00:59,7.82,9.19
01:00-01:59,7.82,9.19
02:00-02:59,7.82,9.19
03:00-03:59,7.82,9.19
04:00-04:59,7.82,9.19
05:00-05:59,7.82,9.19
06:00-06:59,7.82,9.19
07:00-07:59,7.82,9.19
08:00-08:59,7.82,9.19
09:00-09:59,7.82,9.19
10:00-10:59,7.82,9.19
11:00-11:59,7.82,9.19
12:00-12:59,7.82,9.19
13:00-13:59,7.82,9.19
14:00-14:59,7.82,9.19
15:00-15:59,7.82,9.19
16:00-16:59,7.82,9.19
17:00-17:59,7.82,9.19
18:00-18:59,7.82,9.19
19:00-19:59,7.82,9.19
20:00-20:59,7.82,9.19
21:00-21:59,7.82,9.19
22:00-22:59,7.82,9.19
23:00-23:59,7.82,9.19
