hour,med,trauma
00:00-00:59,9.06,8.37
01:00-01:59,9.06,8.37
02:00-02:59,9.06,8.37
03:00-03:59,9.06,8.37
04:00-04:59,9.06,8.37
05:00-05:59,9.06,8.37
06:00-06:59,9.06,8.37
07:00-07:59,9.06,8.37
08:00-08:59,9.06,8.37
09:00-09:59,9.06,8.37
10:00-10:59,9.06,8.37
11:00-11:59,9.06,8.37
12:00-12:59,9.06,8.37
13:00-13:59,9.06,8.37
14:00-14:59,9.06,8.37
15:00-15:59,9.06,8.37
16:00-16:59,9.06,8.37
17:00-17:59,9.06,8.37
18:00-18:59,9.06,8.37
19:00-19:59,9.06,8.37
20:00-20:59,9.06,8.37
21:00-21:59,9.06,8.37
22:00-22:59,9.06,8.37
23:00-23:59,9.06,8.37
