hour,med,trauma
00:00-00:59,10.07,12.57
01:00-01:59,10.07,12.57
02:00-02:59,10.07,12.57
03:00-03:59,10.07,12.57
04:00-04:59,10.07,12.57
05:00-05:59,10.07,12.57
06:00-06:59,10.07,12.57
07:00-07:59,10.07,12.57
08:00-08:59,10.07,12.57
09:00-09:59,10.07,12.57
10:00-10:59,10.07,12.57
11:00-11:59,10.07,12.57
12:00-12:59,10.07,12.57
13:00-13:59,10.07,12.57
14:00-14:59,10.07,12.57
15:00-15:59,10.07,12.57
16:00-16:59,10.07,12.57
17:00-17:59,10.07,12.57
18:00-18:59,10.07,12.57
19:00-19:59,10.07,12.57
20:00-20:59,10.07,12.57
21:00-21:59,10.07,12.57
22:00-22:59,10.07,12.57
23:00-23:59,10.07,12.57
