hour,med,trauma
00:00-00:59,6.26,9.66
01:00-01:59,6.26,9.66
02:00-02:59,6.26,9.66
03:00-03:59,6.26,9.66
04:00-04:59,6.26,9.66
05:00-05:59,6.26,9.66
06:00-06:59,6.26,9.66
07:00-07:59,6.26,9.66
08:00-08:59,6.26,9.66
09:00-09:59,6.26,9.66
10:00-10:59,6.26,9.66
11:00-11:59,6.26,9.66
12:00-12:59,6.26,9.66
13:00-13:59,6.26,9.66
14:00-14:59,6.26,9.66
15:00-15:59,6.26,9.66
16:00-16:59,6.26,9.66
17:00-17:59,6.26,9.66
18:00-18:59,6.26,9.66
19:00-19:59,6.26,9.66
20:00-20:59,6.26,9.66
21:00-21:59,6.26,9.66
22:00-22:59,6.26,9.66
23:00-23:59,6.26,9.66
