hour,med,trauma
00:00-00:59,11.14,8.5
01:00-01:59,11.14,8.5
02:00-02:59,11.14,8.5
03:00-03:59,11.14,8.5
04:00-04:59,11.14,8.5
05:00-05:59,11.14,8.5
06:00-06:59,11.14,8.5
07:00-07:59,11.14,8.5
08:00-08:59,11.14,8.5
09:00-09:59,11.14,8.5
10:00-10:59,11.14,8.5
11:00-11:59,11.14,8.5
12:00-12:59,11.14,8.5
13:00-13:59,11.14,8.5
14:00-14:59,11.14,8.5
15:00-15:59,11.14,8.5
16:00-16:59,11.14,8.5
17:00-17:59,11.14,8.5
18:00-18:59,11.14,8.5
19:00-19:59,11.14,8.5
20:00-20:59,11.14,8.5
21:00-21:59,11.14,8.5
22:00-22:59,11.14,8.5
23:00-23:59,11.14,8.5
