hour,med,trauma
00:00-00:59,9.27,9.61
01:00-01:59,9.27,9.61
02:00-02:59,9.27,9.61
03:00-03:59,9.27,9.61
04:00-04:59,9.27,9.61
05:00-05:59,9.27,9.61
06:00-06:59,9.27,9.61
07:00-07:59,9.27,9.61
08:00-08:59,9.27,9.61
09:00-09:59,9.27,9.61
10:00-10:59,9.27,9.61
11:00-11:59,9.27,9.61
12:00-12:59,9.27,9.61
13:00-13:59,9.27,9.61
14:00-14:59,9.27,9.61
15:00-15:59,9.27,9.61
16:00-16:59,9.27,9.61
17:00-17:59,9.27,9.61
18:00-18:59,9.27,9.61
19:00-19:59,9.27,9.61
20:00-20:59,9.27,9.61
21:00-21:59,9.27,9.61
22:00-22:59,9.27,9.61
23:00-23:59,9.27,9.61
