hour,med,trauma
00:00-00:59,5.82,5.96
01:00-01:59,5.82,5.96
02:00-02:59,5.82,5.96
03:00-03:59,5.82,5.96
04:00-04:59,5.82,5.96
05:00-05:59,5.82,5.96
06:00-06:59,5.82,5.96
07:00-07:59,5.82,5.96
08:00-08:59,5.82,5.96
09:00-09:59,5.82,5.96
10:00-10:59,5.82,5.96
11:00-11:59,5.82,5.96
12:00-12:59,5.82,5.96
13:00-13:59,5.82,5.96
14:00-14:59,5.82,5.96
15:00-15:59,5.82,5.96
16:00-16:59,5.82,5.96
17:00-17:59,5.82,5.96
18:00-18:59,5.82,5.96
19:00-19:59,5.82,5.96
20:00-20:59,5.82,5.96
21:00-21:59,5.82,5.96
22:00-22:59,5.82,5.96
23:00-23:59,5.82,5.96
