hour,med,trauma
00:00-00:59,8.37,11.05
01:00-01:59,8.37,11.05
02:00-02:59,8.37,11.05
03:00-03:59,8.37,11.05
04:00-04:59,8.37,11.05
05:00-05:59,8.37,11.05
06:00-06:59,8.37,11.05
07:00-07:59,8.37,11.05
08:00-08:59,8.37,11.05
09:00-09:59,8.37,11.05
10:00-10:59,8.37,11.05
11:00-11:59,8.37,11.05
12:00-12:59,8.37,11.05
13:00-13:59,8.37,11.05
14:00-14:59,8.37,11.05
15:00-15:59,8.37,11.05
16:00-16:59,8.37,11.05
17:00-17:59,8.37,11.05
18:00-18:59,8.37,11.05
19:00-19:59,8.37,11.05
20:00-20:59,8.37,11.05
21:00-21:59,8.37,11.05
22:00-22:59,8.37,11.05
23:00-23:59,8.37,11.05
