hour,med,trauma
00:00-00:59,9.07,11.28
01:00-01:59,9.07,11.28
02:00-02:59,9.07,11.28
03:00-03:59,9.07,11.28
04:00-04:59,9.07,11.28
05:00-05:59,9.07,11.28
06:00-06:59,9.07,11.28
07:00-07:59,9.07,11.28
08:00-08:59,9.07,11.28
09:00-09:59,9.07,11.28
10:00-10:59,9.07,11.28
11:00-11:59,9.07,11.28
12:00-12:59,9.07,11.28
13:00-13:59,9.07,11.28
14:00-14:59,9.07,11.28
15:00-15:59,9.07,11.28
16:00-16:59,9.07,11.28
17:00-17:59,9.07,11.28
18:00-18:59,9.07,11.28
19:00-19:59,9.07,11.28
20:00-20:59,9.07,11.28
21:00-21:59,9.07,11.28
22:00-22:59,9.07,11.28
23:00-23:59,9.07,11.28
