hour,med,trauma
00:00-00:59,9.46,9.56
01:00-01:59,9.46,9.56
02:00-02:59,9.46,9.56
03:00-03:59,9.46,9.56
04:00-04:59,9.46,9.56
05:00-05:59,9.46,9.56
06:00-06:59,9.46,9.56
07:00-07:59,9.46,9.56
08:00-08:59,9.46,9.56
09:00-09:59,9.46,9.56
10:00-10:59,9.46,9.56
11:00-11:59,9.46,9.56
12:00-12:59,9.46,9.56
13:00-13:59,9.46,9.56
14:00-14:59,9.46,9.56
15:00-15:59,9.46,9.56
16:00-16:59,9.46,9.56
17:00-17:59,9.46,9.56
18:00-18:59,9.46,9.56
19:00-19:59,9.46,9.56
20:00-20:59,9.46,9.56
21:00-21:59,9.46,9.56
22:00-22:59,9.46,9.56
23:00-23:59,9.46,9.56
