hour,med,trauma
00:00-00:59,6.74,8.41
01:00-01:59,6.74,8.41
02:00-02:59,6.74,8.41
03:00-03:59,6.74,8.41
04:00-04:59,6.74,8.41
05:00-05:59,6.74,8.41
06:00-06:59,6.74,8.41
07:00-07:59,6.74,8.41
08:00-08:59,6.74,8.41
09:00-09:59,6.74,8.41
10:00-10:59,6.74,8.41
11:00-11:59,6.74,8.41
12:00-12:59,6.74,8.41
13:00-13:59,6.74,8.41
14:00-14:59,6.74,8.41
15:00-15:59,6.74,8.41
16:00-16:59,6.74,8.41
17:00-17:59,6.74,8.41
18:00-18:59,6.74,8.41
19:00-19:59,6.74,8.41
20:00-20:59,6.74,8.41
21:00-21:59,6.74,8.41
22:00-22:59,6.74,8.41
23:00-23:59,6.74,8.41
