hour,med,trauma
00:00-00:59,9.02,8.9
01:00-01:59,9.02,8.9
02:00-02:59,9.02,8.9
03:00-03:59,9.02,8.9
04:00-04:59,9.02,8.9
05:00-05:59,9.02,8.9
06:00-06:59,9.02,8.9
07:00-07:59,9.02,8.9
08:00-08:59,9.02,8.9
09:00-09:59,9.02,8.9
10:00-10:59,9.02,8.9
11:00-11:59,9.02,8.9
12:00-12:59,9.02,8.9
13:00-13:59,9.02,8.9
14:00-14:59,9.02,8.9
15:00-15:59,9.02,8.9
16:00-16:59,9.02,8.9
17:00-17:59,9.02,8.9
18:00-18:59,9.02,8.9
19:00-19:59,9.02,8.9
20:00-20:59,9.02,8.9
21:00-21:59,9.02,8.9
22:00-22:59,9.02,8.9
23:00-23:59,9.02,8.9
