hour,med,trauma
00:00-00:59,6.4,7.26
01:00-01:59,6.4,7.26
02:00-02:59,6.4,7.26
03:00-03:59,6.4,7.26
04:00-04:59,6.4,7.26
05:00-05:59,6.4,7.26
06:00-06:59,6.4,7.26
07:00-07:59,6.4,7.26
08:00-08:59,6.4,7.26
09:00-09:59,6.4,7.26
10:00-10:59,6.4,7.26
11:00-11:59,6.4,7.26
12:00-12:59,6.4,7.26
13:00-13:59,6.4,7.26
14:00-14:59,6.4,7.26
15:00-15:59,6.4,7.26
16:00-16:59,6.4,7.26
17:00-17:59,6.4,7.26
18:00-18:59,6.4,7.26
19:00-19:59,6.4,7.26
20:00-20:59,6.4,7.26
21:00-21:59,6.4,7.26
22:00-22:59,6.4,7.26
23:00-23:59,6.4,7.26
