hour,med,trauma
00:00-00:59,9.23,4.88
01:00-01:59,9.23,4.88
02:00-02:59,9.23,4.88
03:00-03:59,9.23,4.88
04:00-04:59,9.23,4.88
05:00-05:59,9.23,4.88
06:00-06:59,9.23,4.88
07:00-07:59,9.23,4.88
08:00-08:59,9.23,4.88
09:00-09:59,9.23,4.88
10:00-10:59,9.23,4.88
11:00-11:59,9.23,4.88
12:00-12:59,9.23,4.88
13:00-13:59,9.23,4.88
14:00-14:59,9.23,4.88
15:00-15:59,9.23,4.88
16:00-16:59,9.23,4.88
17:00-17:59,9.23,4.88
18:00-18:59,9.23,4.88
19:00-19:59,9.23,4.88
20:00-20:59,9.23,4.88
21:00-21:59,9.23,4.88
22:00-22:59,9.23,4.88
23:00-23:59,9.23,4.88
