hour,med,trauma
00:00-00:59,8.15,10.82
01:00-01:59,8.15,10.82
02:00-02:59,8.15,10.82
03:00-03:59,8.15,10.82
04:00-04:59,8.15,10.82
05:00-05:59,8.15,10.82
06:00-06:59,8.15,10.82
07:00-07:59,8.15,10.82
08:00-08:59,8.15,10.82
09:00-09:59,8.15,10.82
10:00-10:59,8.15,10.82
11:00-11:59,8.15,10.82
12:00-12:59,8.15,10.82
13:00-13:59,8.15,10.82
14:00-14:59,8.15,10.82
15:00-15:59,8.15,10.82
16:00-16:59,8.15,10.82
17:00-17:59,8.15,10.82
18:00-18:59,8.15,10.82
19:00-19:59,8.15,10.82
20:00-20:59,8.15,10.82
21:00-21:59,8.15,10.82
22:00-22:59,8.15,10.82
23:00-23:59,8.15,10.82
