hour,med,trauma
00:00-00:59,10.99,11.94
01:00-01:59,10.99,11.94
02:00-02:59,10.99,11.94
03:00-03:59,10.99,11.94
04:00-04:59,10.99,11.94
05:00-05:59,10.99,11.94
06:00-06:59,10.99,11.94
07:00-07:59,10.99,11.94
08:00-08:59,10.99,11.94
09:00-09:59,10.99,11.94
10:00-10:59,10.99,11.94
11:00-11:59,10.99,11.94
12:00-12:59,10.99,11.94
13:00-13:59,10.99,11.94
14:00-14:59,10.99,11.94
15:00-15:59,10.99,11.94
16:00-16:59,10.99,11.94
17:00-17:59,10.99,11.94
18:00-18:59,10.99,11.94
19:00-19:59,10.99,11.94
20:00-20:59,10.99,11.94
21:00-21:59,10.99,11.94
22:00-22:59,10.99,11.94
23:00-23:59,10.99,11.94
